track_id,genre,preview
6FzGPBFrXi1DPP49o82MqL,reggae,https://p.scdn.co/mp3-preview/eee625c3c7d7ad35b7d89733bf30bbb22cd306dc
2tVRQi8mU6JU5GAshke7oG,house,https://p.scdn.co/mp3-preview/1fa472af7fe8626a67fb54ac8af82a66a39e482e
1nRbr4kIl9BrK5xYKPkU6i,pop,https://p.scdn.co/mp3-preview/5f4693db90ab50818e4dd712a0d0296790f0aa74
65Hd5iqqg196Yitcmutja5,soul,https://p.scdn.co/mp3-preview/3460474a191c0bf3c1cceff48e3c16b9fd5486e1
2df2tLNTmQABmNm72VLdYo,country,https://p.scdn.co/mp3-preview/43dbb15dd6129f79b6da1e0fcede7fe70c7c3fb1
3LW371GZq4gwEwdVuP0W7o,punk,https://p.scdn.co/mp3-preview/111d61d30502e710e3d091f900d1e55be6338e26
6SbtcVCkXIQuNDLuklkp2P,blues,https://p.scdn.co/mp3-preview/40bc7b892250742c65604fe5c14896507ff405f2
66pNiF2fDVSAnlqZ8alBUt,grindcore,https://p.scdn.co/mp3-preview/47c5f31a286fdd71bad24b133ec3902a1264ce20
58VAMiafnQT1WhVWqpelw9,grindcore,https://p.scdn.co/mp3-preview/c50ada966d359eb4d0c896d9a26bd707326ada93
2CDO6TenVIZkRbMNNErpdT,indie,https://p.scdn.co/mp3-preview/8c9de8dc1e4777220b78b8509595cdcea4f11070
37XE4ILSFtk9cHAZUVSoP1,bluegrass,https://p.scdn.co/mp3-preview/393b6068a3f9929f9f5afbb6d70f63ba8e50ebad
7HeDWXOsfJIJ2R9ra46sIb,bluegrass,https://p.scdn.co/mp3-preview/1e3dbef55f1c9b774598de2e6d9df9807e2c09c5
09HYDcL8bbCOMoz1TqIGkp,punk,https://p.scdn.co/mp3-preview/f9138559d2753b04f0149358514eaf31684ac078
4JJ5e0jWv0GDZGLufDpJ8W,soul,https://p.scdn.co/mp3-preview/1af6d3d0a0929004f62ae342628d462d4dacf7de
3appHpR7VL4RtH6dQBhgtK,blues,https://p.scdn.co/mp3-preview/4f3b4eaff3902354630d62256258257863483d04
5agrJOfVjLQKREmu7k1wNG,classical,https://p.scdn.co/mp3-preview/284b3369915cff2674a4b248c5612736d6178ab6
2Sfa9UBI01S7qAxCKPniqg,folk,https://p.scdn.co/mp3-preview/eb45a1c01fd1bbbe058a51ff70711d8f200597e0
4zqmijA92bww9Kcd2Deszs,bluegrass,https://p.scdn.co/mp3-preview/2f57609df0b1a466f06bf90cee1d89e924d03a32
0Pong6qpvLFBnw8vNq1tri,grindcore,https://p.scdn.co/mp3-preview/0b34acb72ab1c2658eb752b62ca038c984d97317
6rPmK2cJ1ZTho1M6hjSqDK,bluegrass,https://p.scdn.co/mp3-preview/3bbb047e2f4745af390d6bf1c8bcecb9ff41719c
0jlGuUMtk5RA8zgITjADMN,classical,https://p.scdn.co/mp3-preview/a8ba9b0cfd50be25d36e1b8e5722051b53a4b8f3
1Aa0P4XYos5nQEZC4QOlLs,country,https://p.scdn.co/mp3-preview/386369394dc13b031fd749a88d4e39952c1a22e5
4cF2cU7Rf49o3CJNx3bL6v,classical,https://p.scdn.co/mp3-preview/b3f07f487e784649abb7423706ac19ed42f82f54
7x1EcOycpjAUt4erWCApXH,soul,https://p.scdn.co/mp3-preview/e07264f3de223e6822d2d12ff39b7b2c41011954
4aWZIBCBMQEgMna9JpgW90,blues,https://p.scdn.co/mp3-preview/7d05874dc87a631690ad4b0ec74017a0b07a415d
6BETLukwlqKaJuBGWdJS6r,idm,https://p.scdn.co/mp3-preview/77eb0ef806e7b6e8b845e9545fcd9c3372ac0cf4
17h1VB2Od6wmaQBl1DULNj,grindcore,https://p.scdn.co/mp3-preview/8ddf5ba8e4de54271ce1c615fd6f78d0a83754f1
77K4CkizVDVD53t5iS68wj,breakbeat,https://p.scdn.co/mp3-preview/2d3cd39173d31d9bf0257aa599f940548f07c605
0IhtX64yE1TaeQFhSfN6Qe,punk,https://p.scdn.co/mp3-preview/1eba469d92fcbd4611ef27bd4bb1dfd170bed541
1bvfpAn5SRmNCLL96HzyAd,reggae,https://p.scdn.co/mp3-preview/cce0a48863b16c8c00226c72bbf3eb63bd7621dd
6nBEEoYRlFvyzruOMfKomj,classical,https://p.scdn.co/mp3-preview/0a4b9b7ba342b759f9fefc8ee21b12fbef795448
1TYkgWdgmG0hUbINhLhb46,country,https://p.scdn.co/mp3-preview/bfde2e182146da706d63f5003beda1302da00a63
