id,genre,preview
4Tjg4jsELqr8cSgwDZ4twe,rap,https://p.scdn.co/mp3-preview/43887419c9301358d28b7d487dfeb078f9668a6a
7KccdUP4IslFXUNNseqBc7,rap,https://p.scdn.co/mp3-preview/a3cb1372a99a0944063b535182eef6ad80d43087
6yr8GiTHWvFfi4o6Q5ebdT,rap,https://p.scdn.co/mp3-preview/646f0a143151af01930625aaf902b3687ff1be52
0Zh5U48tZNeAzzLTV1CVBE,g-funk,https://p.scdn.co/mp3-preview/92f3690911559f533db0391d94b1156fe0eafdba
06wOQGz4bGB7HETrIjpIep,rap,https://p.scdn.co/mp3-preview/35fc7456c892c11867fe1513b92dc44e9664eaba
1aUT4xl8iiYNr6emik4qTB,g-funk,https://p.scdn.co/mp3-preview/4baaf6c8f5c41afbc17120cf0c5272734ed1baac
31Q9ZTF9x81BDonlObCbvP,rap,https://p.scdn.co/mp3-preview/3f6dd233fd87d673838e16846846f9fed5f66c23
2ye824NM1m7Nc2UPXtwZjL,rap,https://p.scdn.co/mp3-preview/29e501d49711037af40fc0edb4bb87605dbb82ee
0l08dcPEqNEUhymVBext8h,rap,https://p.scdn.co/mp3-preview/f0c37f64c44c619f3c9325a20defb30eb89009ae
29Key5Lj0YlIMH8JzRDy6U,rap,https://p.scdn.co/mp3-preview/ba4a46872dbad5e161bb406923353424cc279152
2Si43OSoa3MW5mmc0mBs36,rap,https://p.scdn.co/mp3-preview/2c2218eb50111c78745e5de8793c39722e9c87a1
06aw4JI5nYa8XBeBKVrltZ,rap,https://p.scdn.co/mp3-preview/bc20f03afd8983e99088e7d8eefabe2eab90bb45
1dIlO8NNKs99ar0IsY1xdM,rap,https://p.scdn.co/mp3-preview/5e73b6e2959e9ef8f01a5cbe3545f55dacc6780c
7n8UWYTawkrcC1KBsY5XRc,rap,https://p.scdn.co/mp3-preview/b6fb20bf0b8c39d0278804d7bbbfcae909bfdff3
3HWOO3iq2MV38JQa3FMIaf,rap,https://p.scdn.co/mp3-preview/1d5c36fb143d2df0871b404dda8951710c7285dc
2RzWl7MCWqwQbTkA3vwGUk,rap,https://p.scdn.co/mp3-preview/30020c4a92e2ed13c4d11e099f2362fb9a3ea3ba
33aHjpcpGYdPC0huGsieuL,rap,https://p.scdn.co/mp3-preview/ccff850c46d26f159a079d5c8b997e7f4d1768ca
3pAnZV3mgNKCABheAUatc3,rap,https://p.scdn.co/mp3-preview/2beb15a43496328f6b4bc7167a1f5541295d2665
0mwXfPCm4AMaz9J0Cn7FXJ,rap,https://p.scdn.co/mp3-preview/ab994517dd18848ba2780b54efbd43372b62a8f2
0xzEDBVP6SmgByZePlbUvT,rap,https://p.scdn.co/mp3-preview/fab146bc463de01395b2168ac9de034c46070c89
